Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Garhwali/Preetam Bhartwan - Sobni Tu Chhali Baachin.opus,1.473774709,0.359230648,0.516991251,0.258364847,0.724151393,-4.483442198,2806.392671,3291.332964,20.85491838,6148.840011,-0.005376581,0.059425153,garhwali
Garhwali/Narendra Singh Negi - Swee Sai Na Khabar Kai.opus,1.431973614,0.308894023,0.48440748,0.252458748,1.091006684,-5.089365837,2578.494848,3141.605888,20.64855506,5159.285057,-0.01400546,0.055312788,garhwali
Garhwali/Anil Bist - Bedu Pako Barmasa.opus,1.47510132,0.341233145,0.508615576,0.259154727,6.807045199,0.306244202,2458.999124,2673.347192,20.08531926,4601.937599,-0.001862736,0.058088012,garhwali
Garhwali/Narendra Singh Negi - Hari Tori Kakhari.opus,1.43451831,0.323160068,0.486651239,0.253103807,0.81248687,-6.082341187,2483.858532,2836.301732,20.9819147,4913.304457,0.003055921,0.0568713,garhwali
Garhwali/Narender Singh Negi - Maya Judi Ge.opus,1.433360928,0.397547242,0.46793141,0.246859356,4.592453483,0.652042679,3596.476095,3990.252351,22.39771897,8627.811523,0.011260056,0.064722703,garhwali
Garhwali/Narendra Singh Negi - Nat Roop Ch Na Rang.opus,1.363193882,0.282822962,0.473482109,0.252508291,10.53826861,-3.078290141,1303.382903,1266.128352,20.51524647,2211.004203,-0.01873443,0.039814737,garhwali
Garhwali/Gajendra Rana - Kya Dan Lagdi Tu.opus,1.493553502,0.361533489,0.510577667,0.256944363,0.867384873,-4.421170936,2391.689369,2853.979147,20.66923203,5010.489832,-0.001646578,0.049910032,garhwali
Garhwali/Narendra Singh Negi - Otuwa Belena.opus,1.492628897,0.308453355,0.505124383,0.25599686,0.14188725,-12.43709207,2040.461069,2462.683951,20.55107655,3763.021738,0.007147757,0.048463962,garhwali
Garhwali/Himanshu Rawat Music - Man Ki Baand.opus,1.467916252,0.489221065,0.479028611,0.238840421,8.964727953,0.387570119,4811.438988,4356.193919,21.67601284,10001.77839,0.01375573,0.100831512,garhwali
Garhwali/Himanshu Rawat Music - Bunkhaal Kaalinka.opus,1.388941985,0.441334444,0.550788064,0.263497989,5.79228337,-2.94122526,3930.928531,4005.400237,20.81581077,8058.075478,0.002835327,0.082147954,garhwali
Garhwali/Preetam Bhartwan - Baand Amrawati.opus,1.413532841,0.319227339,0.501655225,0.258932072,0.838364873,-4.493329933,2594.17315,3104.354692,21.55389649,5362.313722,-0.002400673,0.051654028,garhwali
Garhwali/Preetam Bhartwan - Mijajiya Meri Saunjadiya.opus,1.450000936,0.370718384,0.543195009,0.268551517,0.803941398,-3.675022961,3097.973816,3594.488809,21.15463919,6661.203996,0.001740611,0.060129766,garhwali
Garhwali/Narendra Singh Negi - Rai Maasi Ko Phool.opus,1.348822224,0.327067227,0.503389559,0.256529942,0.333512269,-7.613232252,1911.9681,2317.254011,20.47115582,3557.224558,-0.000639717,0.045257358,garhwali
